Date/Time,PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](Hourly)
 01/12  19:00:00,0.04939571472304963,0.01813493715404595
 01/12  20:00:00,0.053144653584496649,0.048509582092566599
 01/12  21:00:00,0.023099725450191637,0.0633296045994034
 01/12  22:00:00,-0.02877979501920091,0.05962553871780343
 01/12  23:00:00,-0.0660229779572581,0.05969490988806949
 01/12  24:00:00,-0.10162287650427419,0.052388096506713128
 01/13  01:00:00,-0.13670963158947345,0.038381559671052268
 01/13  02:00:00,-0.1697991352187333,0.02074200757468389
 01/13  03:00:00,-0.20040514477387165,0.0012867522954767004
 01/13  04:00:00,-0.22937001270716124,-0.019746309213564199
 01/13  05:00:00,-0.26206327646006158,-0.04676452959260378
 01/13  06:00:00,-0.30884619152410749,-0.08914388499795149
 01/13  07:00:00,-0.3663315919604749,-0.14347545725870787
 01/13  08:00:00,-0.42605676046695448,-0.2014637033948999
 01/13  09:00:00,-0.4767632126675466,-0.2500915960095305
 01/13  10:00:00,-0.4399355610239259,-0.16916473521925563
 01/13  11:00:00,-0.34335606450026098,0.026035222794338666
 01/13  12:00:00,-0.23583642812082923,0.14812266142421677
 01/13  13:00:00,-0.17098344878228972,0.13166910269408914
 01/13  14:00:00,-0.127064177166257,0.11596893092439945
 01/13  15:00:00,-0.044701195775788567,0.12173332196441729
 01/13  16:00:00,0.07941058132343201,0.11955979168611564
 01/13  17:00:00,0.11761173514541128,0.09097416057877284
 01/13  18:00:00,0.08316562308513578,0.042877432256320856
 01/13  19:00:00,0.032881928858857548,0.018232052906975918
 01/13  20:00:00,-0.019133543639395836,0.03770917518553542
 01/13  21:00:00,-0.08298341759231612,0.02548484996730437
 01/13  22:00:00,-0.16174456636636157,-0.013897765107744986
 01/13  23:00:00,-0.24784721366424565,-0.07039070211505474
 01/13  24:00:00,-0.33346763697194989,-0.13449941423173743
 01/14  01:00:00,-0.4179545254010689,-0.20357294169103674
 01/14  02:00:00,-0.490064915422925,-0.2750108032965114
 01/14  03:00:00,-0.5113347604139102,-0.3454530020024386
 01/14  04:00:00,-0.5117290107283153,-0.4144296630492451
 01/14  05:00:00,-0.5094891447436367,-0.4790932001677313
 01/14  06:00:00,-0.5077739320838484,-0.5088555863964834
 01/14  07:00:00,-0.5066211567806013,-0.5122350245769045
 01/14  08:00:00,-0.4528338572114265,-0.4354906298551331
 01/14  09:00:00,-0.36739732843776876,-0.30660508316691439
 01/14  10:00:00,-0.17711187065657714,-0.04465252846954054
 01/14  11:00:00,0.05875047122106123,0.16851127157926536
 01/14  12:00:00,0.13372990574472955,0.18342238833929257
 01/14  13:00:00,0.11443542164329135,0.1402848226649396
 01/14  14:00:00,0.10825103054406085,0.12069710040463586
 01/14  15:00:00,0.12953611191267443,0.1271157029766171
 01/14  16:00:00,0.1412143495947073,0.12393804098977072
 01/14  17:00:00,0.12374555901619666,0.09620258508646129
 01/14  18:00:00,0.08312847885403661,0.04845021140961439
 01/14  19:00:00,0.04972787631641732,0.0193736165942498
 01/14  20:00:00,0.04724791917968142,0.03526629121944452
 01/14  21:00:00,0.031015692910567755,0.0514681038526323
 01/14  22:00:00,-0.029560642821618755,0.03625327815189069
 01/14  23:00:00,-0.10485228652670262,-0.0032792061637689857
 01/14  24:00:00,-0.18263105425505903,-0.05286857512021016
 01/15  01:00:00,-0.25973906699708618,-0.10818237042025827
 01/15  02:00:00,-0.3374100371604767,-0.1691966707626246
 01/15  03:00:00,-0.4172334930172273,-0.2362082842987681
 01/15  04:00:00,-0.4886164407772222,-0.30761421953370657
 01/15  05:00:00,-0.5093751334977859,-0.37719768525209265
 01/15  06:00:00,-0.5089710739691736,-0.4349737866578944
 01/15  07:00:00,-0.5065370998682777,-0.480987012520752
 01/15  08:00:00,-0.43037048794029417,-0.4063876055900385
 01/15  09:00:00,-0.3140215326381023,-0.25270297173789216
 01/15  10:00:00,-0.11498606147644633,0.00948446063211726
 01/15  11:00:00,0.09752466656027699,0.18097396351078402
 01/15  12:00:00,0.13892620574067067,0.1829694016166081
 01/15  13:00:00,0.11534480382939425,0.13864739478111574
 01/15  14:00:00,0.10939170488922678,0.12029816571871503
 01/15  15:00:00,0.13050806563531743,0.12772599276990607
 01/15  16:00:00,0.14163272746500073,0.12533853935625453
 01/15  17:00:00,0.12435011381209034,0.09790788226301177
 01/15  18:00:00,0.08411449676943886,0.04975152750287994
