Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 03/27  19:00:00,18.362116309410705,20.684607933730607,20.6845991341476,20.685920736512546,0.0,310.34909438951036,568.1218584943366,235.36367963399601,2252.1224751475374,0.0,0.0,0.0 
 03/27  20:00:00,18.090475403018004,17.99305663030628,20.647975553863287,20.64022329815009,0.0,0.0,29.43824126626344,13.391093689199126,7.611067768719556,5657.301483351144,0.0,0.0 
 03/27  21:00:00,18.72944386238654,18.483571879712745,15.993473903752152,16.387871676294694,0.0,0.0,0.0,0.0,0.0,191.7805182941042,5675.717786361128,2731.3194760629185 
 03/27  22:00:00,18.394550082048823,16.403041492287482,18.494916020237042,18.592422984435988,0.0,0.0,0.0,0.0,0.0,5497.062402485799,0.0,0.0 
 03/27  23:00:00,18.140433685096028,17.34178863501906,18.7702120254461,18.83455966091844,0.0,0.0,0.0,0.0,0.0,494.9960751869219,0.0,0.0 
 03/27  24:00:00,17.92420062158972,17.76082883654386,18.683499822051342,18.756428445946344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/28  01:00:00,17.70715286563599,17.855617509606486,18.50042535579699,18.606140823052826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/28  02:00:00,17.518888730275606,17.858485213737076,18.31240753593957,18.4465717914926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/28  03:00:00,17.342076270319637,17.8017201926394,18.121017685941986,18.27723140902945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/28  04:00:00,17.156277936104704,17.68807354192962,17.925789209339033,18.088990780664428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/28  05:00:00,17.01651742388004,17.52224641966157,17.72165042817108,17.877855904953897,0.0,0.0,0.0,0.0,52.57018321158852,0.0,0.0,0.0 
 03/28  06:00:00,16.97619218401678,17.357451059315427,17.53297841541732,17.678321323594613,0.0,0.0,0.0,0.0,99.71696315622356,0.0,0.0,0.0 
 03/28  07:00:00,17.905839487035788,18.55884718872568,18.544405597819747,18.502019799970743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/28  08:00:00,17.552960064810897,17.498130230118626,16.712534874038653,17.841709204703854,0.0,0.0,0.0,0.0,2156.865594196667,5624.254144661631,5647.138653715255,2565.0240411577142 
 03/28  09:00:00,18.152018806742582,18.619922494778503,20.712336765293266,18.381356413540132,0.0,310.8250784973798,657.0875424813319,0.0,1844.882781402391,3669.6107693427502,0.0,1276.0735863916877 
 03/28  10:00:00,18.194018130071683,20.802772807385324,20.812702810505606,20.407275236917307,0.0,1653.8595316124852,1300.7301227134221,315.57172654967803,2284.846197467084,0.0,0.0,0.0 
 03/28  11:00:00,18.326631369021,20.806070683515905,20.808179766698526,20.81583914209147,0.0,2011.0597234167878,1616.669577365798,898.3305379003516,1435.9737341427033,0.0,0.0,0.0 
 03/28  12:00:00,18.346158521922575,20.804844741324303,20.80668005378687,20.809430165977552,0.0,1999.6026205048613,1752.1597839355766,1098.085879596552,1489.4315927000214,0.0,0.0,0.0 
 03/28  13:00:00,20.273525862592578,20.82013442600041,20.815235573537016,20.819312605531728,162.7469527348518,2617.2229391744904,2072.942559705403,1383.485840839096,0.0,0.0,0.0,0.0 
 03/28  14:00:00,21.01970417757755,20.953607612593423,20.91639417039787,20.861510332278897,703.5608523296737,3344.0418159331657,2573.7598688097023,1567.0864002201315,0.0,0.0,0.0,0.0 
 03/28  15:00:00,20.984491738596866,20.92827141412082,20.924897943513177,20.83342360823208,1015.4145870729085,3925.9552262811358,3058.484811283606,1635.5352815420788,0.0,0.0,0.0,0.0 
 03/28  16:00:00,20.8949513073245,20.809232391233884,20.87563868644269,20.743041074505786,1089.5560353234073,3816.882912170296,3213.5289356816597,1531.1011033700693,0.0,0.0,0.0,0.0 
 03/28  17:00:00,20.724229906848485,20.60845763823585,20.719081699141384,20.629788734785798,826.604528683167,2737.4017488112568,2660.5076163388976,1165.151497617169,0.0,0.0,0.0,0.0 
 03/28  18:00:00,20.627821904836527,20.554817395420386,20.618808643867226,20.600549187878617,427.471989386149,1490.859258693909,1752.1636693819105,764.3332545030621,0.0,0.0,0.0,0.0 
 03/28  19:00:00,20.664300099793792,20.62780556673453,20.625536812000007,20.62470069975488,134.5362321815979,739.867430165938,933.7346739546754,420.3804821083554,0.0,0.0,0.0,0.0 
 03/28  20:00:00,18.803745000352322,20.703761570072317,20.689461548830437,20.698190456502644,0.0,180.17197850173835,307.3509546989608,163.2702450682553,1921.2001124299459,0.0,0.0,0.0 
 03/28  21:00:00,18.75044078602189,20.78740053226685,20.79102705687505,20.790772774660674,0.0,44.54190458398173,132.44960122038822,78.7431943565131,0.0,0.0,0.0,0.0 
 03/28  22:00:00,17.646512731022458,18.92548550464767,20.78033317983209,20.802018378168647,0.0,0.0,25.260816616333592,29.522586158350794,2365.38605021804,2188.924037703977,0.0,0.0 
 03/28  23:00:00,17.528036774998228,19.112019639858566,17.98879357523934,18.858480824664348,0.0,0.0,0.0,0.0,2395.210314376445,13.633958254111281,4038.729964587324,2602.6087116758663 
 03/28  24:00:00,18.171660078782097,17.51824813999869,17.50393342710773,19.06994247516536,0.0,0.0,0.0,0.0,39.435064337495,5618.092587928411,5940.950160864961,0.0 
 03/29  01:00:00,18.59336633173168,18.999957842517503,18.945208091135143,17.41495793257335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2872.516494055328 
